index,PSNR_r,PSNR_c
0,117.6363960761703,107.22518381675086
1,115.94917829319655,104.69920449458797
2,117.71954473223944,105.8724847977717
3,114.04210337460401,103.03215388928487
4,117.34150277998269,106.91197712242868
5,112.25418403819889,99.70103653815954
6,100.53954980152695,87.61643160530114
7,113.88000449714136,102.1297173389921
8,119.38139030778242,108.04036239670823
9,119.22685859589464,108.16943997682996
10,119.0279878617302,107.41267696179173
11,112.54052063203986,105.00591773184556
12,116.79000062111041,107.56808176341397
13,116.12576033879168,104.5764159368905
14,114.27607825988524,103.76814843810229
15,113.98942927703018,106.14856034530914
16,115.34734217083064,105.55100224293602
17,112.10251487114692,100.98352262740113
18,115.51461478029793,104.06576632663244
19,116.1125101296922,105.27423430936554
20,116.71306115682017,105.95488382761474
21,115.31770321146556,104.6579287930819
22,113.45311691041567,101.3820247556749
23,112.9099062814175,102.67786631732803
24,114.59292340645071,105.49279947731222
25,114.2712189128399,102.72839177848448
26,116.85121930145506,109.14526740346659
27,107.89076170144008,94.6013386120761
28,115.9534334640322,104.42499624366135
29,113.520567248778,100.44097808250528
30,117.1997793555957,106.7173370399343
31,115.36276260370657,107.10113097796237
32,119.89109158035298,109.12251164960516
33,116.35226632212293,105.91818677588694
34,111.72261548079986,99.0835052590049
35,113.05467999675349,104.28912634847434
36,116.08619305804977,105.46404273630019
37,119.36039455862242,107.390216696598
38,117.77676462500557,105.23054399868046
39,114.11182343973833,108.5289536849329
40,114.66070276026024,104.81881315933882
41,116.08426555518713,107.41056561353233
42,113.82752011748039,102.95084254000119
43,118.70767487049456,108.74437526263702
44,114.46159707329292,101.94119539598069
45,115.35723313807688,104.36294246390332
46,114.14575831494788,103.65891110548208
47,115.21777751157376,102.77183781508134
48,114.36617521768268,102.21387964657274
49,115.55191495791165,105.74733025089954
50,115.54483691556177,104.80614080593372
51,109.85264884393905,98.29079783321932
52,114.93496809291116,103.41539686532352
53,115.39236968061347,103.82686624144243
54,118.39097156156954,107.39811201029784
55,107.09448436701854,94.71150309929317
56,119.25894784815031,107.24178922941555
57,114.03137380565471,102.30975422364246
58,113.96667547414317,103.21386737755722
59,115.07572523207142,103.03500344471645
60,112.67635836366678,100.83050273175245
61,117.13222221993846,109.3316308024742
62,120.49146817553583,110.03172376035897
63,115.92907706280545,108.10424313433535
64,117.22867693440863,108.24124695451465
65,117.41434174945499,106.286308910056
66,114.77001535079543,104.24658643821877
67,117.66364409796614,107.87534718953904
68,116.01418546455969,104.32811596748695
69,116.01101252406723,103.6020990803401
70,113.03163190222412,103.7562617415131
71,115.66345124434163,104.11529503395701
72,115.05057645142085,103.52960171054625
73,117.31612114705626,108.47501902859301
74,115.86596294555493,105.0820696683219
75,113.33308602119268,102.10858848989747
76,117.8196517148069,109.93464843856006
77,116.85058455862477,107.62686607356811
78,114.11590958676264,106.07168407023613
79,120.27750258947881,109.12164896767987
80,117.76827014131402,106.41508899628555
81,114.69320384231197,105.17967287425759
82,109.67233953467357,98.0632479573036
83,111.69819699706949,99.26751957440419
84,110.62314775997001,97.60818070939186
85,115.26681014223847,104.55307661825475
86,112.50185575399713,101.46621328368114
87,116.38871869028014,103.62461319269153
88,114.22167402380376,103.83522148536288
89,114.6448660426067,102.50768927902685
90,114.5786687602279,101.72885838404385
91,115.48609253296931,103.95041857372526
92,116.75738197961527,106.65637621577217
93,118.87869581213756,107.38078530601888
94,112.41861412045657,102.36150889625064
95,113.58177372693538,107.07761942176886
96,113.70433979230712,102.26301535163707
97,112.01395609760873,103.78006936453332
98,116.35859000380017,105.41915271821443
99,111.29358692201494,98.56652813205825
100,118.69268106919591,107.79685938975477
101,114.36610778198349,104.55229343138905
102,117.50835546195694,105.65342819099618
103,114.71045189456326,103.24653398877086
104,117.9905036185684,106.8640750432897
105,112.02743225256359,99.68648263549298
106,101.1394429305448,87.65654537920518
107,111.36285946731805,101.503960731035
108,114.43147640855855,108.21875713142194
109,119.6119788303826,108.79553836561675
110,116.10790389125671,106.70376502459388
111,114.85753054048959,105.6412567204054
112,116.90099610078379,106.83282024487296
113,115.87000795322852,104.80537695199075
114,114.57545979537977,103.69867269441991
115,118.47901080128881,107.98839738263815
116,118.16196634813409,106.28483113629942
117,110.35316305026527,100.69145988217923
118,116.4914251167996,104.33918115358814
119,112.97369233811692,105.00796206489225
120,115.44893332720065,105.02727025944748
121,116.10726155032155,104.61693876580821
122,113.5779745826195,101.25634229091978
123,115.46532091200432,102.95608318819745
124,116.96526201394279,105.59698320475823
125,114.36509742298216,102.8480584122197
126,117.76085348459299,108.0613522197481
127,106.44697535016928,94.47651982418284
128,115.45510116785042,103.70128649519445
129,113.00504724649554,100.24934094327881
130,117.61874206635221,106.01940078923731
131,118.46063072709696,108.26630970615491
132,117.81862792998245,108.41643295242491
133,114.44309128836586,105.870610218048
134,112.9977017985096,99.15643854708384
135,113.83189699607027,104.18000621004057
136,116.72797375267311,105.50426679977143
137,119.57726902303662,107.91820418543205
138,116.45787177796683,105.29984097708254
139,118.9599064498819,108.99084007970711
140,114.93532758902035,105.21413199017603
141,116.11747960861058,106.17728985747584
142,111.8055054456333,102.97938504464011
143,114.94249622042062,109.01977480962421
144,114.54517885937827,101.89897960942803
145,115.0282947983896,104.15565461862043
146,110.57778314392289,102.92427412636818
147,111.50078929771895,102.14285097071385
148,112.71290159980991,101.91240015711537
149,114.45228001407182,106.1335494854024
150,115.92757434584696,104.8668953297938
151,109.20527318165023,98.14357738028205
152,114.9570439713024,103.51153305270634
153,114.97763781054655,103.21412495233756
154,118.06109347094514,108.21547938990346
155,107.04434739830127,94.6626772924995
156,116.70672707018099,105.1135223172925
157,114.06797772502527,102.48508099198921
158,114.79925244193456,103.26340706644828
