index,PSNR_r,PSNR_c
0,117.72108328111933,106.5725816690458
1,115.926206730449,104.12892308741954
2,117.85426859354169,105.49850156590813
3,113.98768738440961,102.4476500019193
4,117.88832894119071,106.30978488697193
5,112.04176413646552,98.99657553451802
6,100.39097243882709,86.92783206334335
7,113.82859522849643,101.54804609298351
8,119.97915575944687,107.43227731074776
9,119.23645857863636,107.61148896119491
10,118.94657739060239,106.71803662812663
11,112.33402471381947,104.43956715315198
12,116.80202395737513,106.99542130010572
13,116.33157096524214,103.93628748004495
14,114.23689856815939,103.17500916384762
15,113.80794896901875,105.66485278600041
16,115.35423370345613,105.09336099482064
17,112.14019552424065,100.28296902746469
18,115.42391073112665,103.39799410381244
19,116.27181549192679,104.6877520558825
20,116.47058078606076,105.27937422364174
21,115.3021124299593,104.0512493521673
22,113.41496151068017,100.77859983622781
23,112.81135660027346,102.11002255171798
24,114.45857568146579,104.91661767316324
25,114.21764770285968,102.2311473011103
26,116.67728064127077,108.54247803221746
27,107.65832636358414,94.0452269693634
28,115.97070229508084,103.92636889731295
29,113.44362763358971,99.81375501182022
30,117.2311165692386,106.12968966196462
31,115.28563544411158,106.52853147003341
32,120.97596556193501,108.5987477950958
33,116.26776109103591,105.35215078243907
34,111.59920922966117,98.470477142774
35,112.9459093572491,103.71806397108429
36,116.12367417768623,104.84650335791423
37,119.78401829103639,106.78344864914615
38,117.70748014429499,104.60437396880877
39,113.98477035834973,107.97213825629852
40,114.51108270695687,104.24327718858476
41,116.10395279186754,106.78376314233509
42,113.85744140689972,102.37519494183113
43,119.44673442373653,108.35899186424868
44,114.92561164930041,101.26772477198435
45,115.50277728302568,103.88090329145724
46,114.01173650867678,103.06119819385108
47,115.02187192934767,102.14083909691684
48,114.29654185560098,101.62605060796386
49,115.24372046529008,105.18298798281451
50,115.51308632237706,104.15650962016754
51,109.37567349906368,97.45706015520655
52,114.69045539629774,102.84723752929392
53,115.38606839295943,103.21658493401412
54,118.5097964376514,106.87173866188178
55,106.68687184657898,93.91454943657737
56,119.68088531225206,106.7314675293031
57,113.88703149043293,101.59267783434414
58,113.97451410934971,102.55056244419173
59,115.05148510749514,102.44105892967548
60,112.4827644657475,100.27652593773894
61,117.13563181243659,108.76674547651382
62,120.60063210051014,109.43153623661367
63,115.77766523666229,107.54293447207017
64,117.19684529090992,107.64099664474885
65,117.68882641055728,105.61147429022421
66,114.7018036546425,103.65092696512592
67,117.97439969409712,107.45748232222635
68,116.07381256976012,103.87929767699808
69,115.96564476339509,102.99194910645197
70,113.08105238238662,103.25975889138375
71,115.87849290940059,103.54196970238895
72,114.99939307760462,102.92506878612349
73,117.60376897481999,107.84999331532723
74,115.73821517343049,104.49817099591768
75,113.12658700064108,101.54108321670094
76,117.7774773677977,109.25700171793625
77,116.9241616817502,107.10558181062436
