index,PSNR_r,PSNR_c
0,117.36775661610379,106.80723722647103
1,115.51610553799381,104.40685876407252
2,117.20658062416057,105.61670066359045
3,113.79269896642306,102.75095073007306
4,117.13201123505362,106.44922303274952
5,112.10087244176977,99.42733638551353
6,100.28560363638502,87.39610718881985
7,113.57790184378295,101.88383006138022
8,119.03554726019712,107.67819817629714
9,118.71849468975633,107.76690969494474
10,118.7517677319646,106.97743299004132
11,112.31432941444054,104.70664567299808
12,116.4237290737561,107.15756540803618
13,115.89534367658933,104.27735044666142
14,113.9757813358764,103.51451771344946
15,113.73398782463366,105.89175111188675
16,115.01637441384358,105.24048190712342
17,111.86456389720801,100.70006929249942
18,115.32119149471784,103.78137062777823
19,115.73506804109638,104.9168963525378
20,116.42057830183063,105.54229352061918
21,115.00882831343829,104.3895432912652
22,113.2996435330891,101.10999648044435
23,112.61959509303696,102.41645918663784
24,114.35948643642303,105.15988126507436
25,113.96549781519128,102.49419022157953
26,116.49775193949638,108.82249071071246
27,107.53892495965587,94.34425328095028
28,115.7437947179946,104.21987999691254
29,113.25549118873514,100.20831673074048
30,116.9032616402505,106.46511381206209
31,115.11019103003579,106.76419364046872
32,119.48307031957046,108.58244765102916
33,116.02367831313721,105.54688764085681
34,111.5719648473847,98.85236472741741
35,112.73860169723287,103.97577528267179
36,115.6018034327066,105.19010331469147
37,118.8232480890094,107.11058519465271
38,117.48852821737508,104.94545427457956
39,113.81951030217536,108.18431709186954
40,114.36047489839844,104.58232388711437
41,115.81511363421016,106.98092981348695
42,113.56447238081371,102.75275654759332
43,118.16746201785742,107.97524983989084
44,114.3098816299501,101.62345150395197
45,115.14998207567727,104.06680762543348
46,113.85498445489523,103.3694176447444
47,114.95126530519718,102.47391270185653
48,114.11708356012309,101.94876269971454
49,115.31267219140545,105.46229631251671
50,115.05064228311397,104.49339505433281
51,109.69017769734313,97.97774317024076
52,114.65132235640682,103.15560673777652
53,115.30292630947451,103.53179156788175
54,117.95695264083862,107.05970160066522
55,106.95617760256152,94.44174552471677
56,118.85644783115174,106.91462253819407
57,113.74546332528952,102.04531234995882
58,113.71161573072511,102.92146579893453
59,114.64606628650543,102.74991391007234
60,112.26615874496616,100.59207502907515
61,116.94228614646832,108.8571842217483
62,120.32106021977532,109.43971775372658
63,115.59922703789374,107.7548496119093
64,116.89209792675383,107.80557712041329
65,117.07715758324164,105.95252230238798
66,114.10808022715491,103.9721268703426
67,116.94150859373325,107.30696907132055
68,115.43935580911763,104.13462017040315
69,115.62917212543071,103.34854018323563
70,112.72211179566158,103.53254401477658
71,115.3238884670294,103.8145832753812
72,114.73925947075807,103.22778378802901
73,116.72894130434264,107.99297194387549
74,115.52327919368152,104.77982041353494
75,113.00064482044087,101.86716814472635
76,117.64177188306189,109.52490543734021
77,116.53977744618429,107.20409702483354
78,113.34506430514423,105.76647681436776
79,119.86251408959303,108.61399826246134
80,117.16228418429843,106.09238601471665
