epoch,train_loss,psnr_r,psnr_c,lr
1,63.63905880368989,65.76391885031143,50.369774620704455,1.2559432157547911e-06
2,62.32055653100726,65.76391885031143,50.369774620704455,1.2559432157547911e-06
3,67.1976511725064,65.76391885031143,50.369774620704455,1.2559432157547911e-06
4,63.766346547795436,65.76391885031143,50.369774620704455,1.2559432157547911e-06
5,62.21784486441776,65.76391885031143,50.369774620704455,1.2559432157547911e-06
6,63.53902084525974,65.76391885031143,50.369774620704455,1.2559432157547911e-06
7,62.13830895259463,65.76391885031143,50.369774620704455,1.2559432157547911e-06
8,59.17191470354453,65.76391885031143,50.369774620704455,1.2559432157547911e-06
9,63.67301956264452,65.76391885031143,50.369774620704455,1.2559432157547911e-06
10,64.04015648502043,65.76391885031143,50.369774620704455,1.2559432157547911e-06
11,59.37605851272057,65.76391885031143,50.369774620704455,1.2559432157547911e-06
12,61.784826519845545,65.76391885031143,50.369774620704455,1.2559432157547911e-06
13,62.652758675060056,65.76391885031143,50.369774620704455,1.2559432157547911e-06
14,63.41136546518611,65.76391885031143,50.369774620704455,1.2559432157547911e-06
15,61.12821300550439,65.76391885031143,50.369774620704455,1.2559432157547911e-06
16,63.64139368342257,65.76391885031143,50.369774620704455,1.2559432157547911e-06
17,63.12700889850485,65.76391885031143,50.369774620704455,1.2559432157547911e-06
18,63.513530446195055,65.76391885031143,50.369774620704455,1.2559432157547911e-06
19,66.47273988833372,65.76391885031143,50.369774620704455,1.2559432157547911e-06
20,59.823781550615685,65.76391885031143,50.369774620704455,1.2559432157547911e-06
21,63.42651494344076,65.76391885031143,50.369774620704455,1.2559432157547911e-06
22,66.03264924849587,65.76391885031143,50.369774620704455,1.2559432157547911e-06
23,64.21941608122026,65.76391885031143,50.369774620704455,1.2559432157547911e-06
24,64.65487727899661,65.76391885031143,50.369774620704455,1.2559432157547911e-06
25,63.6717880512106,65.76391885031143,50.369774620704455,1.2559432157547911e-06
26,60.8461567451214,65.76391885031143,50.369774620704455,1.2559432157547911e-06
27,61.245973915889344,65.76391885031143,50.369774620704455,1.2559432157547911e-06
28,63.70861303395238,65.76391885031143,50.369774620704455,1.2559432157547911e-06
29,63.31537093239269,65.76391885031143,50.369774620704455,1.2559432157547911e-06
30,63.28796062250247,65.76391885031143,50.369774620704455,1.2559432157547911e-06
31,68.65523693479341,65.76391885031143,50.369774620704455,1.2559432157547911e-06
32,60.61199549970956,65.76391885031143,50.369774620704455,1.2559432157547911e-06
33,58.663145328390186,65.76391885031143,50.369774620704455,1.2559432157547911e-06
34,57.02468648450128,65.76391885031143,50.369774620704455,1.2559432157547911e-06
35,63.83500947623417,65.76391885031143,50.369774620704455,1.2559432157547911e-06
36,61.95260488575902,65.76391885031143,50.369774620704455,1.2559432157547911e-06
37,59.343815025241895,65.76391885031143,50.369774620704455,1.2559432157547911e-06
38,61.46546256405183,65.76391885031143,50.369774620704455,1.2559432157547911e-06
39,63.36639299063847,65.76391885031143,50.369774620704455,1.2559432157547911e-06
40,65.54362130439145,65.76391885031143,50.369774620704455,1.2559432157547911e-06
41,64.87853525972915,65.76391885031143,50.369774620704455,1.2559432157547911e-06
42,59.062045020618655,65.76391885031143,50.369774620704455,1.2559432157547911e-06
43,59.48259248404667,65.76391885031143,50.369774620704455,1.2559432157547911e-06
44,62.633256583378234,65.76391885031143,50.369774620704455,1.2559432157547911e-06
45,63.956237749121655,65.76391885031143,50.369774620704455,1.2559432157547911e-06
46,63.189221217714504,65.76391885031143,50.369774620704455,1.2559432157547911e-06
47,57.90642234100692,65.76391885031143,50.369774620704455,1.2559432157547911e-06
48,63.96139877143948,65.76391885031143,50.369774620704455,1.2559432157547911e-06
49,64.35837848707177,65.76391885031143,50.369774620704455,1.2559432157547911e-06
